Time (s),Altitude (m),VerticalSpeed (m/s),HorizontalSpeed (m/s)
0.000,104.633,16.270,0.053
0.136,107.031,17.695,0.053
0.262,109.245,18.918,0.092
0.380,111.607,20.142,0.134
0.498,114.115,21.368,0.159
0.618,116.771,22.597,0.136
0.741,119.574,23.827,0.084
0.857,122.525,25.059,0.101
0.999,126.155,26.498,0.173
1.145,129.986,27.940,0.219
1.274,134.019,29.384,0.194
1.413,137.638,30.624,0.146
1.537,142.048,32.073,0.174
1.678,146.660,33.524,0.235
1.810,150.776,34.769,0.296
1.935,155.767,36.225,0.259
2.072,160.961,37.683,0.220
2.210,165.577,38.935,0.242
2.334,171.151,40.397,0.316
2.472,176.092,41.653,0.354
2.596,181.184,42.910,0.343
2.717,187.316,44.379,0.300
2.856,193.653,45.850,0.349
2.997,200.196,47.323,0.422
3.133,205.969,48.587,0.489
3.257,211.894,49.854,0.458
3.379,218.999,51.333,0.428
3.511,225.253,52.604,0.455
3.639,232.743,54.087,0.537
3.773,240.441,55.573,0.581
3.913,248.347,57.061,0.558
4.055,255.289,58.338,0.535
4.197,264.784,60.044,0.609
4.357,274.553,61.751,0.688
4.516,284.595,63.462,0.699
4.679,294.911,65.176,0.662
4.819,304.162,66.678,0.711
4.942,312.260,67.967,0.780
5.057,320.512,69.256,0.831
5.180,328.919,70.548,0.812
5.314,338.923,72.058,0.787
5.442,347.667,73.353,0.810
5.564,356.566,74.649,0.881
5.683,365.620,75.947,0.932
5.797,374.831,77.246,0.936
5.934,384.197,78.547,0.897
6.056,395.322,80.067,0.906
6.195,406.660,81.588,0.979
6.339,418.211,83.110,1.055
6.475,429.975,84.635,1.028
6.614,441.953,86.162,0.998
6.755,452.391,87.473,1.012
6.878,464.766,89.003,1.085
7.010,475.545,90.316,1.129
7.133,486.481,91.631,1.130
7.260,499.439,93.167,1.110
7.391,510.717,94.484,1.134
7.520,524.075,96.023,1.201
7.651,535.696,97.343,1.245
7.778,549.455,98.885,1.229
7.917,563.429,100.429,1.194
8.057,577.620,101.975,1.240
8.195,589.956,103.300,1.310
8.318,604.549,104.848,1.362
8.457,619.359,106.399,1.329
8.597,634.386,107.952,1.299
8.735,647.440,109.283,1.341
8.858,662.871,110.838,1.426
8.997,676.271,112.172,1.500
9.122,692.107,113.731,1.486
9.256,708.162,115.292,1.475
9.414,724.435,116.853,1.542
9.556,743.300,118.639,1.623
9.717,762.452,120.428,1.623
9.870,779.444,121.993,1.574
10.016,799.133,123.784,1.598
10.173,819.108,125.576,1.642
10.333,836.821,127.145,1.622
10.471,857.334,128.936,1.497
10.599,872.907,130.281,1.442
10.719,888.642,131.627,1.440
10.839,904.537,132.974,1.427
10.958,920.595,134.320,1.361
11.083,936.814,135.663,1.212
11.213,955.939,137.231,1.050
11.340,972.508,138.577,0.969
11.473,989.238,139.926,0.922
